Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	83536564	+77478	1024438	+295	80910731	+38639	1601395	1724	249675	3062	1011100248	3021993	334580570	North America
India	43098743	+4195	524024	+22	42554416	+6717	20303	698	30675	373	839844925	597749	1405013751	Asia
Brazil	30543908	+19725	664143	+176	29612822	+3728	266943	8318	141837	3084	63776166	296159	215344649	South America
France	28890139	+40224	146608	+110	27537876	+111461	1205655	1511	440803	2237	269816888	4116844	65539748	Europe
Germany	25289590	+86026	136812	+248	23135500	+135000	2017278	1279	300074	1623	122332384	1451538	84277770	Europe
UK	22114034	+6551	176212	+228	21456269	+27474	481553	253	322628	2571	519264096	7575702	68543359	Europe
Russia	18216719	+5541	376696	+136	17588067	+9408	251956	2300	124729	2579	273400000	1871964	146049804	Europe
S. Korea	17464782	+26714	23206	+48	N/A	N/A	N/A	423	340109	452	15804065	307768	51350514	Asia
Italy	16727251	+44208	164304	+125	15416301	+62978	1146646	363	277410	2725	215559634	3574908	60297959	Europe
Turkey	15040238	+1743	98826	+7	14938050	+2239	3362	975	174862	1149	159650441	1856144	86011903	Asia
Spain	12009059	+18526	104869	+67	11467015	+6703	437175	339	256669	2241	471036328	10067426	46788158	Europe
Vietnam	10670570	+3819	43055	+6	9316237	+1817	1311278	480	107835	435	85804106	867120	98952988	Asia
Argentina	9083673	N/A	128653	N/A	8895999	N/A	59021	372	197642	2799	35716069	777108	45960250	South America
Netherlands	8057700	+1303	22270	+1	7925873	+27114	109557	52	468341	1294	21107399	1226835	17204757	Europe
Japan	8000280	+21368	29726	+18	7630309	+32721	340245	170	63614	236	49155081	390855	125762860	Asia
Iran	7224431	+375	141157	+12	6999709	+2659	83565	952	84030	1642	50914586	592205	85974534	Asia
Australia	6168859	+38111	7454	+30	5834675	+34597	326730	127	236852	286	69812523	2680433	26045243	Australia/Oceania
Colombia	6093645	N/A	139809	N/A	5927076	N/A	26760	342	117451	2695	34560302	666125	51882583	South America
Indonesia	6047986	+245	156357	+17	5885099	+329	6530	2771	21689	561	95994568	344245	278855032	Asia
Poland	5999513	+607	116124	+25	5334849	+36	548540	1125	158842	3074	36144527	956959	37770210	Europe
Mexico	5740080	N/A	324350	N/A	5039624	N/A	376106	4798	43674	2468	15801675	120229	131429715	North America
Ukraine	5002870	N/A	108411	N/A	N/A	N/A	N/A	177	115674	2507	19521252	451363	43249552	Europe
Malaysia	4455364	+1251	35576	+7	4391090	N/A	28698	66	134480	1074	58880012	1777223	33130353	Asia
Thailand	4308319	+7705	28979	+62	4181671	+11252	97669	1496	61440	413	17270775	246293	70122826	Asia
Austria	4172760	+6001	18228	+6	4084163	+5916	70369	76	458488	2003	183969298	20213907	9101125	Europe
Belgium	4088336	N/A	31552	N/A	3861145	+11116	195639	124	349951	2701	33714218	2885849	11682599	Europe
Israel	4087885	+1084	10741	+12	4052605	N/A	24539	150	438332	1152	41373364	4436346	9326000	Asia
Portugal	3935932	+15761	22420	+21	N/A	N/A	N/A	61	388086	2211	41500718	4092001	10141912	Europe
Czechia	3911331	+933	40210	+11	3860111	+2709	11010	24	363994	3742	55261935	5142749	10745602	Europe
South Africa	3827378	+9253	100505	+34	3673270	+4288	53603	192	63068	1656	24626847	405801	60686992	Africa
Canada	3787353	+4262	39716	+43	3476863	+3095	270774	468	98752	1036	61161915	1594746	38352142	North America
Philippines	3686693	+150	60439	N/A	3621737	+327	4517	289	32838	538	29677552	264342	112269371	Asia
Switzerland	3619035	N/A	13865	N/A	3500631	+8580	104539	69	412600	1581	20851897	2377289	8771291	Europe
Chile	3572817	+3325	57614	+17	3438641	+4021	76562	180	183989	2967	37263025	1918927	19418677	South America
Peru	3569026	+334	212913	+7	N/A	N/A	N/A	347	105535	6296	30012076	887448	33818424	South America
Greece	3353886	+5130	29349	+34	3248273	N/A	76264	211	324699	2841	80435748	7787201	10329224	Europe
Denmark	2970809	+807	6226	+8	2951608	+1509	12975	8	509590	1068	127272381	21831342	5829801	Europe
Romania	2898258	+730	65554	+9	2606660	N/A	226044	156	152530	3450	22810626	1200484	19001192	Europe
Sweden	2503090	N/A	18791	N/A	2472416	N/A	11883	16	245032	1839	18534055	1814334	10215347	Europe
Iraq	2325467	+70	25213	+1	2298866	+149	1388	12	55519	602	18493357	441520	41885675	Asia
Serbia	2009249	+509	16019	+4	1980853	+2234	12377	22	231680	1847	9530939	1098983	8672508	Europe
Bangladesh	1952766	+19	29127	N/A	1897046	+258	26593	1273	11643	174	14004592	83503	167713805	Asia
Hungary	1903200	N/A	46266	N/A	1808061	N/A	48873	40	197938	4812	11355462	1180998	9615140	Europe
Slovakia	1784410	+504	19961	+9	1752249	+1732	12200	48	326545	3653	7109492	1301029	5464516	Europe
Jordan	1694216	N/A	14048	N/A	1678941	N/A	1227	124	163065	1352	16670254	1604476	10389844	Asia
Georgia	1655221	N/A	16811	N/A	1637293	N/A	1117	N/A	416402	4229	16920079	4256566	3975054	Asia
Pakistan	1528654	+30	30372	N/A	1494141	N/A	4141	101	6681	133	28220768	123344	228796622	Asia
Ireland	1522363	+889	7131	+23	1474063	+4054	41169	35	302089	1415	12101379	2401327	5039455	Europe
Norway	1427790	+305	3006	N/A	N/A	N/A	N/A	20	259627	547	11002430	2000667	5499382	Europe
Kazakhstan	1305573	+7	13661	+1	1291252	+65	660	24	68032	712	11575012	603158	19190692	Asia
Singapore	1212337	+3420	1346	+2	1147296	+1720	63695	5	204264	227	23767171	4004474	5935155	Asia
Hong Kong	1206041	+324	9344	+11	N/A	N/A	N/A	5	158500	1228	44972952	5910418	7609098	Asia
Morocco	1165151	+67	16070	+1	1148780	+72	301	293	30892	426	11237010	297930	37716972	Africa
Bulgaria	1158949	+156	36965	N/A	989029	+115	132955	77	169139	5395	9877826	1441586	6852055	Europe
Croatia	1126501	+778	15874	+9	1105260	+1023	5367	16	277558	3911	4807551	1184531	4058612	Europe
Cuba	1103753	+147	8527	N/A	1094554	+137	672	23	97557	754	12920253	1141983	11313873	North America
Lebanon	1097390	+122	10396	+1	1083454	+298	3540	186	162117	1536	4795578	708450	6769113	Asia
Lithuania	1059365	+177	9116	+4	1028426	+742	21823	20	399412	3437	8262024	3115031	2652309	Europe
Finland	1052767	N/A	4150	N/A	46000	N/A	1002617	21	189463	747	10773620	1938892	5556586	Europe
Tunisia	1040712	N/A	28566	N/A	N/A	N/A	N/A	29	86391	2371	4584296	380548	12046573	Africa
Slovenia	1014709	+735	6608	+3	996373	+1160	11728	17	487966	3178	2650666	1274687	2079465	Europe
Belarus	981838	+579	6966	+3	928536	N/A	46336	N/A	103969	738	13191812	1396906	9443594	Europe
Nepal	978914	+15	11952	+1	966747	+17	215	N/A	32519	397	5650847	187719	30102613	Asia
New Zealand	977380	+7421	797	+23	923036	+8295	53547	N/A	195394	159	7099152	1419234	5002100	Australia/Oceania
Bolivia	905272	+60	21924	N/A	860929	+632	22419	220	75650	1832	2705422	226083	11966508	South America
UAE	899835	+198	2302	N/A	883740	+279	13793	N/A	88999	228	156887853	15517066	10110665	Asia
Uruguay	899723	N/A	7210	N/A	888557	N/A	3956	18	257364	2062	6091188	1742370	3495921	South America
Ecuador	870526	N/A	35598	N/A	N/A	N/A	N/A	759	47998	1963	2470170	136196	18136835	South America
Costa Rica	857290	N/A	8421	N/A	836721	N/A	12148	42	165504	1626	4291131	828425	5179864	North America
Guatemala	848807	+709	17683	+30	828809	+588	2315	5	45816	954	4495103	242633	18526323	North America
Latvia	824046	+314	5789	+9	812244	+2099	6013	7	445967	3133	7196647	3894766	1847774	Europe
Azerbaijan	792607	+8	9709	N/A	782846	+7	52	N/A	76895	942	6829482	662565	10307637	Asia
Panama	784184	+1919	8191	+2	765227	+820	10766	8	176620	1845	5918817	1333081	4439953	North America
Saudi Arabia	754842	+219	9099	+3	742348	+109	3395	53	21077	254	41954451	1171482	35813146	Asia
Sri Lanka	663520	+17	16507	N/A	646138	+2	875	N/A	30749	765	6486117	300579	21578749	Asia
Paraguay	649718	+263	18872	+2	624673	N/A	6173	2	89075	2587	2633737	361081	7294030	South America
Kuwait	631701	+292	2555	N/A	628486	+396	660	3	143995	582	8038329	1832316	4386978	Asia
Myanmar	613017	+52	19434	N/A	591928	+26	1655	N/A	11129	353	8009269	145406	55082169	Asia
Palestine	581940	N/A	5353	N/A	576242	N/A	345	17	109389	1006	3078533	578679	5319929	Asia
Dominican Republic	579743	+171	4376	N/A	574987	+163	380	1	52473	396	3288872	297678	11048431	North America
Estonia	572434	N/A	2548	N/A	511857	N/A	58029	3	430992	1918	3329716	2506978	1328179	Europe
Bahrain	571441	+680	1477	N/A	566352	+424	3612	2	315622	816	9742059	5380804	1810521	Asia
Venezuela	522625	+38	5709	N/A	515880	+9	1036	230	18476	202	3359014	118746	28287443	South America
Moldova	516986	N/A	11489	N/A	504142	N/A	1355	49	128710	2860	3216305	800737	4016683	Europe
Egypt	515645	N/A	24613	N/A	442182	N/A	48850	122	4870	232	3693367	34879	105891415	Africa
Libya	501904	N/A	6430	N/A	490973	N/A	4501	101	71258	913	2477219	351702	7043513	Africa
Cyprus	474267	N/A	1020	N/A	124370	N/A	348877	60	387612	834	9477138	7745544	1223560	Asia
Ethiopia	470704	+18	7510	N/A	455724	+4	7470	5	3916	62	4807378	39991	120210483	Africa
Mongolia	469885	N/A	2179	N/A	313256	N/A	154450	192	139201	646	4030048	1193880	3375590	Asia
Honduras	423879	+85	10895	N/A	132358	N/A	280626	105	41577	1069	1359869	133387	10194944	North America
Armenia	422877	N/A	8622	N/A	412026	N/A	2229	N/A	142218	2900	3059332	1028882	2973452	Asia
Réunion	398115	N/A	756	N/A	383424	N/A	13935	7	438893	833	1603660	1767917	907090	Africa
Oman	389126	N/A	4258	N/A	384243	N/A	625	4	72789	796	25000000	4676465	5345918	Asia
Bosnia and Herzegovina	377229	N/A	15768	N/A	192218	N/A	169243	N/A	116313	4862	1761186	543038	3243211	Europe
Qatar	364981	+86	677	N/A	363749	+49	555	2	129988	241	3458983	1231917	2807805	Asia
Kenya	323846	+28	5649	N/A	318055	+13	142	N/A	5788	101	3610647	64529	55953847	Africa
Zambia	320036	+281	3980	+4	315499	+233	557	1	16554	206	3429405	177391	19332496	Africa
North Macedonia	310140	+77	9284	N/A	300208	+101	648	N/A	148876	4457	2027591	973298	2083216	Europe
Botswana	305859	N/A	2688	N/A	303026	N/A	145	1	125397	1102	2026898	830993	2439127	Africa
Albania	275266	N/A	3496	N/A	271480	N/A	290	2	95845	1217	1810232	630303	2872005	Europe
Taiwan	268447	+36091	896	+10	32318	+1345	235233	N/A	11234	37	15134584	633346	23896234	Asia
Algeria	265791	+5	6875	N/A	178361	+2	80555	6	5866	152	230861	5095	45310353	Africa
Nigeria	255766	N/A	3143	N/A	249914	N/A	2709	11	1187	15	5075820	23548	215553411	Africa
Zimbabwe	248214	+64	5473	+1	241976	+37	765	12	16264	359	2270879	148796	15261709	Africa
Luxembourg	241160	+485	1068	N/A	231818	+1476	8274	1	374038	1656	4238251	6573500	644748	Europe
Uzbekistan	238660	+9	1637	N/A	236784	+7	239	23	6945	48	1377915	40099	34363234	Asia
Montenegro	235644	+95	2717	N/A	232314	+88	613	6	375102	4325	2458105	3912853	628213	Europe
Mozambique	225409	+2	2201	N/A	223163	+4	45	13	6858	67	1315576	40025	32868713	Africa
China	218945	+374	5153	+12	202277	+1602	11515	659	152	4	160000000	111163	1439323776	Asia
Laos	208368	N/A	748	N/A	7660	N/A	199960	N/A	27893	100	1232128	164940	7470149	Asia
Kyrgyzstan	200993	N/A	2991	N/A	196406	N/A	1596	131	29898	445	1907195	283700	6722577	Asia
Iceland	185795	N/A	119	N/A	75685	N/A	109991	N/A	538029	345	2264004	6556154	345325	Europe
Maldives	179171	N/A	298	N/A	163687	N/A	15186	25	321043	534	2213831	3966799	558090	Asia
Afghanistan	178919	+14	7684	N/A	161924	+8	9311	1124	4413	190	945154	23312	40543827	Asia
Uganda	164069	N/A	3596	N/A	100205	N/A	60268	2	3390	74	2612795	53981	48402062	Africa
El Salvador	162089	N/A	4128	N/A	150662	N/A	7299	8	24760	631	1950448	297936	6546533	North America
Ghana	161222	N/A	1445	N/A	159746	N/A	31	1	4996	45	2438745	75577	32268187	Africa
Namibia	159052	+63	4026	N/A	153662	N/A	1364	N/A	60575	1533	1010056	384679	2625709	Africa
Martinique	153253	N/A	926	N/A	104	N/A	152223	8	408970	2471	828928	2212073	374729	North America
Trinidad and Tobago	150481	+531	3845	N/A	137933	+505	8703	18	106888	2731	714919	507812	1407842	North America
Brunei	142465	+153	218	N/A	141598	+58	649	N/A	320002	490	717784	1612270	445201	Asia
Guadeloupe	140130	N/A	854	N/A	2250	N/A	137026	19	350106	2134	938039	2343633	400250	North America
Cambodia	136260	+1	3056	N/A	133172	+5	32	N/A	7947	178	2956510	172437	17145441	Asia
Jamaica	130787	+191	2973	+1	84150	+106	43664	N/A	43815	996	1013520	339539	2984992	North America
Rwanda	129836	+11	1459	N/A	45522	N/A	82855	N/A	9586	108	5295717	391007	13543797	Africa
Cameroon	119780	N/A	1927	N/A	117791	N/A	62	13	4314	69	1751774	63097	27763377	Africa
Angola	99194	N/A	1900	N/A	97149	N/A	145	N/A	2855	55	1499795	43160	34749632	Africa
Malta	92597	+122	708	N/A	88498	+285	3391	4	208688	1596	1892984	4266254	443711	Europe
DRC	87023	N/A	1337	N/A	50930	N/A	34756	N/A	920	14	846704	8952	94577426	Africa
Senegal	86012	N/A	1966	N/A	84030	+2	16	N/A	4899	112	1073132	61123	17556881	Africa
Malawi	85800	+3	2634	N/A	82072	N/A	1094	67	4281	131	575805	28732	20040726	Africa
Ivory Coast	81970	+2	799	N/A	81150	+8	21	N/A	2972	29	1505495	54583	27581816	Africa
French Guiana	80859	N/A	395	N/A	11254	N/A	69210	2	258380	1262	627211	2004215	312946	South America
Suriname	79393	N/A	1328	N/A	49402	N/A	28663	N/A	133138	2227	236066	395871	596321	South America
Channel Islands	74865	N/A	172	N/A	73987	N/A	706	N/A	423404	973	1252808	7085337	176817	Europe
French Polynesia	72776	+11	648	N/A	N/A	N/A	N/A	7	256343	2282	N/A	N/A	283901	Australia/Oceania
Barbados	72743	+461	403	+1	68533	N/A	3807	N/A	252559	1399	657095	2281390	288024	North America
Eswatini	71072	+108	1399	N/A	69070	+51	603	11	60113	1183	1017997	861027	1182306	Africa
Fiji	64699	N/A	862	N/A	62815	N/A	1022	N/A	71222	949	508406	559660	908419	Australia/Oceania
Madagascar	64181	N/A	1391	N/A	59370	N/A	3420	14	2213	48	426220	14696	29002632	Africa
Guyana	63533	N/A	1228	N/A	62204	N/A	101	1	80062	1547	601903	758496	793548	South America
Sudan	62135	N/A	4933	N/A	N/A	N/A	N/A	N/A	1359	108	562941	12309	45735745	Africa
New Caledonia	60749	N/A	312	N/A	60231	N/A	206	9	209078	1074	98964	340601	290557	Australia/Oceania
Bhutan	59450	+28	21	N/A	59142	+109	287	2	75514	27	2302054	2924101	787269	Asia
Mauritania	58719	+12	982	N/A	57700	N/A	37	N/A	12045	201	807064	165557	4874835	Africa
Belize	57612	+34	676	N/A	56692	+28	244	6	140199	1645	543928	1323648	410931	North America
Cabo Verde	56056	+10	401	N/A	55572	+4	83	23	98844	707	400982	707052	567118	Africa
Syria	55842	+5	3150	N/A	52284	+22	408	N/A	3054	172	146269	8000	18283988	Asia
Gabon	47602	N/A	304	N/A	47285	N/A	13	N/A	20496	131	1593622	686165	2322504	Africa
Papua New Guinea	43821	N/A	650	N/A	43133	N/A	38	7	4733	70	249149	26908	9259359	Australia/Oceania
Seychelles	42841	N/A	166	N/A	42223	N/A	452	N/A	430697	1669	N/A	N/A	99469	Africa
Curaçao	42567	+326	275	+1	41905	+293	387	3	257467	1663	496693	3004252	165330	North America
Andorra	41717	N/A	153	N/A	41021	N/A	543	14	538332	1974	249838	3224007	77493	Europe
Burundi	40736	+61	38	N/A	773	N/A	39925	N/A	3248	3	345742	27564	12543196	Africa
Mauritius	37744	+11	990	N/A	36042	+11	712	N/A	29588	776	358675	281169	1275658	Africa
Mayotte	37363	N/A	187	N/A	2964	N/A	34212	N/A	131124	656	176919	620890	284944	Africa
Togo	37000	+4	273	N/A	36707	+2	20	N/A	4284	32	732162	84778	8636245	Africa
Guinea	36459	N/A	440	N/A	35976	N/A	43	8	2644	32	660107	47872	13789093	Africa
Aruba	35189	+343	212	N/A	34774	+258	203	N/A	327029	1970	177885	1653176	107602	North America
Faeroe Islands	34658	N/A	28	N/A	7693	N/A	26937	5	704359	569	778000	15811401	49205	Europe
Tanzania	33872	N/A	803	N/A	N/A	N/A	N/A	7	539	13	N/A	N/A	62868785	Africa
Bahamas	33672	+17	798	N/A	32397	+9	477	N/A	84144	1994	229817	574298	400170	North America
Lesotho	32910	N/A	697	N/A	24155	N/A	8058	N/A	15141	321	431221	198395	2173553	Africa
Mali	30907	+19	733	+1	29998	+8	176	N/A	1449	34	669471	31393	21325412	Africa
Haiti	30703	N/A	835	N/A	29555	N/A	313	N/A	2633	72	132422	11358	11658743	North America
