Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	Date
USA	85060675	52112.0	1029015.0	37.0	81632147.0	45898.0	2399513.0	2289.0	254166.0	3075.0	1021971326.0	3053712.0	334665263.0	North America	2022-05-22
India	43138393	2022.0	524459.0	46.0	42599102.0	2099.0	14832.0	698.0	30690.0	373.0	846797414.0	602443.0	1405606396.0	Asia	2022-05-22
Brazil	30791220	11192.0	665680.0	23.0	29832019.0	30794.0	293521.0	8318.0	142942.0	3090.0	63776166.0	296068.0	215410601.0	South America	2022-05-22
France	29354950	16965.0	147835.0	11.0	28542968.0	8737.0	664147.0	1173.0	447852.0	2255.0	271490188.0	4141977.0	65546044.0	Europe	2022-05-22
Germany	26085617	3300.0	138712.0	3.0	24602500.0	26900.0	1344405.0	944.0	309477.0	1646.0	122332384.0	1451337.0	84289451.0	Europe	2022-05-22
UK	22238715		177977.0		21819211.0	14713.0	241527.0	188.0	324374.0	2596.0	522526476.0	7621568.0	68558917.0	Europe	2022-05-22
Russia	18293450	4710.0	378350.0	80.0	17688903.0	5814.0	226197.0	2300.0	125253.0	2591.0	273400000.0	1871929.0	146052530.0	Europe	2022-05-22
S. Korea	17957697	19298.0	23965.0	54.0	17371880.0	49012.0	561852.0	229.0	349695.0	467.0	15804065.0	307757.0	51352437.0	Asia	2022-05-22
Italy	17247753	17945.0	165952.0	34.0	16231004.0	24528.0	850797.0	292.0	286060.0	2752.0	219432092.0	3639363.0	60294088.0	Europe	2022-05-22
Turkey	15062281	905.0	98926.0	5.0	14959906.0	1019.0	3449.0	975.0	175038.0	1150.0	161541275.0	1877262.0	86051554.0	Asia	2022-05-22
Spain	12238073		105947.0		11620275.0		511851.0	339.0	261559.0	2264.0	471036328.0	10067256.0	46788947.0	Europe	2022-05-22
Vietnam	10708887	1319.0	43075.0		9402046.0	8945.0	1263766.0	211.0	108180.0	435.0	85814176.0	866887.0	98991236.0	Asia	2022-05-22
Argentina	9178795	6141.0	128825.0	7.0	8895999.0		153971.0	300.0	199633.0	2802.0	35716069.0	776802.0	45978362.0	South America	2022-05-22
Japan	8587421	34957.0	30292.0	37.0	8210336.0	35915.0	346793.0	92.0	68292.0	241.0	51400373.0	408763.0	125746009.0	Asia	2022-05-22
Netherlands	8077136	764.0	22307.0		8010669.0	2997.0	44160.0	36.0	469426.0	1296.0	21107399.0	1226717.0	17206410.0	Europe	2022-05-22
Iran	7230053	312.0	141274.0	3.0	7033986.0	1774.0	54793.0	670.0	84049.0	1642.0	51877878.0	603080.0	86021530.0	Asia	2022-05-22
Australia	6948968	38515.0	8097.0	20.0	6563517.0	40677.0	377354.0	103.0	266671.0	311.0	71189105.0	2731930.0	26058172.0	Australia/Oceania	2022-05-22
Colombia	6099111		139833.0		5930545.0		28733.0	342.0	117502.0	2694.0	34792844.0	670301.0	51906279.0	South America	2022-05-22
Indonesia	6052590	227.0	156522.0	3.0	5892411.0	285.0	3657.0	2771.0	21695.0	561.0	98090610.0	351603.0	278981396.0	Asia	2022-05-22
Poland	6005531	95.0	116268.0		5335250.0	12.0	554013.0	981.0	159009.0	3078.0	36282083.0	960646.0	37768404.0	Europe	2022-05-22
Mexico	5757740	1018.0	324740.0	28.0	5053051.0	300.0	379949.0	4798.0	43789.0	2470.0	15897804.0	120906.0	131488897.0	North America	2022-05-22
Ukraine	5011304	371.0	108533.0	5.0				177.0	115900.0	2510.0	19521252.0	451482.0	43238126.0	Europe	2022-05-22
Malaysia	4491320	1817.0	35643.0	2.0	4429166.0	6551.0	26511.0	40.0	135491.0	1075.0	59578095.0	1797310.0	33148481.0	Asia	2022-05-22
Thailand	4411494	4739.0	29749.0	31.0	4325956.0	7391.0	55789.0	1496.0	62904.0	424.0	17270775.0	246266.0	70130461.0	Asia	2022-05-22
