Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	Date
USA	83688188	50718.0	1024752.0	103.0	81019770.0	71846.0	1643666.0	1714.0	250121.0	3063.0	1012201393.0	3025189.0	334591157.0	North America	2022-05-09
India	43107689	2288.0	524103.0	10.0	42563949.0	3044.0	19637.0	698.0	30680.0	373.0	841029858.0	598560.0	1405087832.0	Asia	2022-05-09
Brazil	30574245	9709.0	664248.0	59.0	29652018.0	22598.0	257979.0	8318.0	141973.0	3084.0	63776166.0	296147.0	215352893.0	South America	2022-05-09
France	28964775	7354.0	146856.0	132.0	27669575.0	25411.0	1148344.0	1408.0	441937.0	2241.0	269816888.0	4116794.0	65540535.0	Europe	2022-05-09
Germany	25385707	40350.0	137020.0	95.0	23373200.0	126300.0	1875487.0	1279.0	301210.0	1626.0	122332384.0	1451513.0	84279230.0	Europe	2022-05-09
UK	22140287	6311.0	176424.0	71.0	21558432.0	71373.0	405431.0	253.0	323002.0	2574.0	519264096.0	7575488.0	68545304.0	Europe	2022-05-09
Russia	18232696	5030.0	377049.0	103.0	17609357.0	5959.0	246290.0	2300.0	124839.0	2582.0	273400000.0	1871960.0	146050144.0	Europe	2022-05-09
S. Korea	17564999	20601.0	23400.0	40.0				421.0	342059.0	456.0	15804065.0	307767.0	51350755.0	Asia	2022-05-09
Italy	16816419	17155.0	164573.0	84.0	15548091.0	76099.0	1103755.0	363.0	278891.0	2729.0	216195210.0	3585477.0	60297475.0	Europe	2022-05-09
Turkey	15044921	1542.0	98854.0	8.0	14942882.0	1463.0	3185.0	975.0	174907.0	1149.0	159961399.0	1859652.0	86016859.0	Asia	2022-05-09
Spain	12009059		104869.0		11467015.0		437175.0	339.0	256668.0	2241.0	471036328.0	10067405.0	46788257.0	Europe	2022-05-09
Vietnam	10678359	2175.0	43057.0	1.0	9322165.0	1574.0	1313137.0	449.0	107908.0	435.0	85805504.0	867092.0	98957769.0	Asia	2022-05-09
Argentina	9101319		128729.0		8895999.0		76591.0	372.0	198016.0	2801.0	35716069.0	777070.0	45962514.0	South America	2022-05-09
Japan	8099533	40942.0	29813.0	28.0	7747676.0	30792.0	322044.0	163.0	64404.0	237.0	49544860.0	393961.0	125760754.0	Asia	2022-05-09
Netherlands	8061446	1030.0	22278.0	2.0	7959467.0	20785.0	79701.0	52.0	468553.0	1295.0	21107399.0	1226820.0	17204964.0	Europe	2022-05-09
Iran	7225759	570.0	141189.0	12.0	7008231.0	2811.0	76339.0	854.0	84040.0	1642.0	50914586.0	592165.0	85980409.0	Asia	2022-05-09
Australia	6286876	37775.0	7516.0	3.0	5940461.0	34477.0	338899.0	129.0	241368.0	289.0	70033185.0	2688738.0	26046859.0	Australia/Oceania	2022-05-09
Colombia	6093645		139809.0		5927076.0		26760.0	342.0	117444.0	2695.0	34560302.0	666087.0	51885545.0	South America	2022-05-09
Indonesia	6048685	254.0	156396.0	15.0	5886211.0	353.0	6078.0	2771.0	21690.0	561.0	96426056.0	345773.0	278870828.0	Asia	2022-05-09
Poland	6000600	184.0	116138.0		5334940.0	14.0	549522.0	1125.0	158872.0	3075.0	36166373.0	957543.0	37769984.0	Europe	2022-05-09
Mexico	5745228	732.0	324463.0	11.0	5044117.0	641.0	376648.0	4798.0	43711.0	2469.0	15855490.0	120632.0	131437113.0	North America	2022-05-09
Ukraine	5006460	518.0	108449.0	3.0				177.0	115761.0	2508.0	19521252.0	451378.0	43248123.0	Europe	2022-05-09
Malaysia	4461135	2246.0	35584.0	1.0	4403183.0	2433.0	22368.0	69.0	134645.0	1074.0	58962005.0	1779576.0	33132619.0	Asia	2022-05-09
Thailand	4331338	6488.0	29146.0	55.0	4217238.0	12755.0	84954.0	1496.0	61767.0	416.0	17270775.0	246290.0	70123780.0	Asia	2022-05-09
Austria	4185678	4133.0	18249.0	4.0	4100958.0	5448.0	66471.0	83.0	459894.0	2005.0	184215396.0	20240325.0	9101405.0	Europe	2022-05-09
Israel	4095432	3378.0	10741.0		4052605.0		32086.0	150.0	439141.0	1152.0	41373364.0	4436346.0	9326000.0	Asia	2022-05-09
